<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.06.11	384.00	384.80	382.80	384.10	303	0	0
2004.06.14	384.30	385.80	381.80	382.80	1954	0	0
2004.06.15	382.80	388.80	381.10	388.60	1995	0	0
2004.06.16	387.10	389.80	382.60	383.80	2106	0	0
2004.06.17	383.60	389.30	383.00	387.60	1638	0	0
2004.06.18	388.60	395.80	385.80	394.30	2323	0	0
2004.06.21	394.30	396.80	392.10	393.10	1759	0	0
2004.06.22	392.80	396.30	392.30	394.10	1515	0	0
2004.06.23	394.00	396.60	392.30	395.60	1889	0	0
2004.06.24	394.00	402.80	393.10	401.10	2077	0	0
2004.06.25	402.00	402.80	400.10	401.10	1681	0	0
2004.06.28	401.80	404.60	398.80	399.80	2196	0	0
2004.06.29	399.80	400.50	390.30	391.30	2234	0	0
2004.06.30	391.50	396.30	391.10	393.30	2199	0	0
2004.07.01	391.60	395.80	391.50	395.00	1796	0	0
2004.07.02	395.10	399.80	391.30	397.80	1583	0	0
2004.07.06	397.80	398.80	388.50	392.10	1109	0	0
2004.07.07	394.10	403.10	394.10	401.80	883	0	0
2004.07.08	401.80	408.60	399.30	407.30	984	0	0
2004.07.09	407.30	407.80	405.00	407.10	857	0	0
2004.07.12	407.30	408.30	405.00	406.60	974	0	0
2004.07.13	407.10	407.30	399.60	403.10	1656	0	0
2004.07.14	400.80	405.80	400.80	404.80	1090	0	0
2004.07.15	404.30	405.10	400.80	403.10	1950	0	0
2004.07.16	403.10	407.10	401.80	406.10	988	0	0
2004.07.19	405.50	407.50	403.80	404.80	925	0	0
2004.07.20	405.00	406.30	398.60	400.80	1812	0	0
2004.07.21	399.30	401.60	393.80	396.10	1974	0	0
2004.07.22	396.00	397.80	392.80	393.30	1968	0	0
2004.07.23	394.30	395.00	386.50	389.30	1964	0	0
2004.07.26	389.30	392.10	388.10	389.80	2050	0	0
2004.07.27	390.50	393.10	385.10	386.60	3118	0	0
2004.07.28	386.10	389.60	384.50	387.30	3281	0	0
2004.07.29	387.30	390.80	385.30	387.10	2610	0	0
2004.07.30	387.10	391.80	386.30	390.50	2866	0	0
2004.08.02	390.30	393.80	390.30	391.10	2014	0	0
2004.08.03	391.30	394.30	388.10	393.10	3280	0	0
2004.08.04	393.80	393.80	389.60	391.80	3123	0	0
2004.08.05	391.30	393.00	389.80	391.80	1953	0	0
2004.08.06	391.80	400.30	390.80	398.80	1952	0	0
2004.08.09	399.10	400.30	397.10	399.80	1508	0	0
2004.08.10	399.60	400.60	397.30	399.10	1490	0	0
2004.08.11	398.10	399.10	392.30	394.60	1671	0	0
2004.08.12	395.10	397.30	392.80	393.30	1894	0	0
2004.08.13	393.50	399.10	391.80	398.10	2880	0	0
2004.08.16	398.30	403.10	397.60	401.30	1629	0	0
2004.08.17	402.10	404.80	399.60	404.80	1191	0	0
2004.08.18	403.80	404.80	401.10	403.80	809	0	0
2004.08.19	403.80	407.50	403.10	406.10	1636	0	0
2004.08.20	406.10	413.80	404.60	412.20	2157	0	0
2004.08.23	411.80	411.80	407.80	409.30	2405	0	0
2004.08.24	409.60	409.60	401.60	401.60	2808	0	0
2004.08.25	401.80	407.60	401.60	406.80	3589	0	0
2004.08.26	406.30	408.80	404.10	406.30	2292	0	0
2004.08.27	406.50	408.50	400.80	402.30	2991	0	0
2004.08.30	402.30	408.60	402.10	408.10	1165	0	0
2004.08.31	406.80	410.80	406.30	409.30	1256	0	0
